Calculating sensitivities for variable HHb
Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
Vol_mit                            16.040     16.040           3.691      8.836
a_n                                 0.000      0.000           0.000      0.000
bred_n                              0.000      0.000           0.000      0.000
Dpsi_n                              0.000      0.000           0.000      0.000
O2_n                                0.000      0.000           0.000      0.000
O2c_n                               0.000      0.000           0.000      0.000
a_frac_n                            0.000      0.000           0.000      0.000
blood_hb                           79.786     79.786          10.007     23.601
c3                                  6.050     -5.986           4.661     11.189
C_buffi                             0.000      0.000           0.000      0.000
C_im                                0.000      0.000           0.000      0.000
ck1                                12.577     11.992           7.001     16.504
ck2                                 3.289      3.126           1.688      4.042
CMRO2_n                             0.000      0.000           0.000      0.000
CVinh                              46.267     46.267           8.555     20.064
cytox_tot_tis                      59.073     59.073          15.527     35.747
D_NADH                              0.073      0.073           0.018      0.041
Dp_CV0                              7.798     -7.282           3.496      8.540
dpH                                 0.000      0.000           0.000      0.000
E_a30                               0.000      0.000           0.000      0.000
E_c0                                2.020      2.020           2.317      5.567
H_n                                 0.000      0.000           0.000      0.000
k30                                 2.759      2.759           1.486      3.459
k_aut                               3.733      1.891           0.892      3.897
k_unc                               8.851      8.851           3.893      9.308
kCV                                 0.000      0.000           0.000      0.000
L_CV0                               0.638     -0.012           0.341      1.033
L_lkfrac                            0.000      0.000           0.000      0.000
NADpool                            57.156     57.156          12.487     30.000
p_C1                                0.000      0.000           0.000      0.000
p_C3                                0.000      0.000           0.000      0.000
p_tot                              40.862    -40.862          10.032     23.228
pH_mn                               0.000      0.000           0.000      0.000
r_CV                                1.246     -1.055           0.559      1.506
Dp3_corr                            9.938      9.938           4.844     10.922
E_N0                                1.653     -1.653           1.779      4.220
HHb                                 0.000      0.000           0.000      0.000
HbO2                                0.000      0.000           0.000      0.000
CCO                                 0.000      0.000           0.000      0.000
Calculating sensitivities for variable CCO
Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
Vol_mit                            11.882     -3.294           1.837     12.484
a_n                                12.067      0.264           1.328     12.792
bred_n                              0.000      0.000           0.000      0.000
Dpsi_n                              0.000      0.000           0.000      0.000
O2_n                                0.000      0.000           0.000      0.000
O2c_n                               0.000      0.000           0.000      0.000
a_frac_n                            0.000      0.000           0.000      0.000
blood_hb                            0.000      0.000           0.000      0.000
c3                                  1.967      0.086           1.431      3.927
C_buffi                             0.000     -0.000           0.000      0.000
C_im                                0.000     -0.000           0.000      0.000
ck1                                 1.295      0.081           0.424      1.652
ck2                                 0.987     -0.433           0.344      1.213
CMRO2_n                             0.000      0.000           0.000      0.000
CVinh                               3.550      0.355           1.408      4.881
